alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
"Sahid Sudirman Center Lt.55
Jl.Jend.Sudirman no.86
Jakarta 10220,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",corpsec@arthavest.com,021-3453075,Perusahaan Investasi ,ARTA,Arthavest Tbk,01.356.069.3-054.000,PENGEMBANGAN,Barang Konsumen Non-Primer,Jasa Konsumen,2002-11-05T00:00:00,021-31116101,www.arthavest.com";;;;;;
"	Gedung Ratu Prabu 1 Lantai. 9 JL. TB. Simatupang Kav. 20 Jakarta 12560 - Indonesia. ,PT. Ficomindo Buana Registrar,""Pendukung Minyak, Gas & Batu Bara"",""Jasa & Perlengkapan Minyak, Gas & Batu Bara"",	corsec@ratuprabuenergi.com,	(021) 780-8037 ,Crude Petroleum and Natural Gas Prod.,ARTI,Ratu Prabu Energi Tbk,	01.703.684.9-054.000 ,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2003-04-30T00:00:00,	(021) 7883-6836 ,	www.ratuprabuenergi.com ";;;;;;
Menara BTPN Lt. 46 Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6, Jakarta Selatan,PT. Ficomindo Buana Registrar,Bank,Bank,corporate.communications@jago.com,021-50927479 & 021-50927499,Perbankan,ARTO,PT Bank Jago Tbk.,01.555.591.5-441.000,Pengembangan,Keuangan,Bank,2016-01-12T00:00:00,021-50927460 & 021-50927490,www.jago.com;;;;;;
Jl. RS Fatmawati No. 32 Jakarta Selatan,PT. Bima Registra,Asuransi,Asuransi Umum,jenry.cardo@asuransibintang.com,7590 2555,Asuransi Kerugian ,ASBI,Asuransi Bintang Tbk,01.306.897.8-054.000,Pengembangan,Keuangan,Asuransi,1989-11-29T00:00:00,7590 2777,www.asuransibintang.com;;;;;;
Wisma Hayam Wuruk Lt. 7 Jl. Hayam Wuruk No. 8 Jakarta 10120,PT. Datindo Entrycom,Asuransi,Asuransi Umum,csecretary@dayinmitra.com ,021-3453457,Asuransi Kerugian ,ASDM,Asuransi Dayin Mitra Tbk,01.316.236.7-054.000 ,Utama,Keuangan,Asuransi,1989-12-15T00:00:00,021-80868888,www.asuransidayinmitra.com;;;;;;
 Jl. Kramat Raya N0. 43 Jakarta 10450  ,PT. Raya Saham Registra,Jasa Komersial,Jasa Pendukung Bisnis,melinda.pudjo@astragraphia.co.id,021 - 3909388 ,Computer and Services,ASGR,Astra Graphia Tbk, 01.307.261.6-054.000  ,Utama,Perindustrian,Jasa Perindustrian,1989-11-15T00:00:00,021 - 3909190 ,www.astragraphia.co.id ;;;;;;
"Jl. Muara Baru Ujung K No. 7D
RT 021 RW 17 Penjaringan
Jakarta Utara, Indonesia,PT. Sinartama Gunita,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",corpsecretary@csfi.co.id,,Perdagangan Besar Hasil Perikanan dan Aktivitas Cold Storage,ASHA,PT Cilacap Samudera Fishing Industry Tbk,019612019522000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2022-05-27T00:00:00,+6221-66604850,www.csfi.co.id";;;;;;
Menara Astra Lt 58-63, Jl. Jendral Sudirman Kav 5-6, Jakarta, 10220,PT. Raya Saham Registra,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Gita.TiffanyBoer@ai.astra.co.id,(021) 6530-4957,Perdagangan Umum,ASII,Astra International Tbk,01.302.584.6-092.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,1990-04-04T00:00:00,(021) 508 43 888,www.astra.co.id;;;;;;
"Gedung Agro Plaza Lantai 9 Jl. HR. Rasuna Said Blok X 2 Nomor 1 Jakarta 12950 ,PT. Adimitra Jasa Korpora,Asuransi,Asuransi Umum,HeadOffice@jastan.co.id,""021-5262539, 5262540"",Asuransi Non Jiwa Konvensional,ASJT,Asuransi Jasa Tania Tbk,01.105.014.3-054.000,Utama,Keuangan,Asuransi,2003-12-23T00:00:00,021-5262529,www.jastan.co.id";;;;;;
"Gedung Graha Kirana Lt.6
Jl. Yos Sudarso No. 88
Sunter, Jakarta Utara 14350,PT. Raya Saham Registra,Ritel Khusus,Ritel Otomotif,corporate.secretary@autopedia.id,(021) 6530 8822,Bergerak dalam bidang balai lelang melalui Entitas Anak dan perdagangan eceran mobil,ASLC,PT Autopedia Sukses Lestari Tbk,03.346.241.7-045.000,Pengembangan,Barang Konsumen Non-Primer,Perdagangan Ritel,2022-01-25T00:00:00,(021) 6530 8811,www.autopedia.id";;;;;;
 Graha Kirana, Lantai 6 Jl. Yos Sudarso No.88, Sunter Jakarta 14350  ,PT. Adimitra Jasa Korpora,Asuransi,Asuransi Umum,0,(62-21) 65311160 ,Asuransi Kerugian,ASMI,PT Asuransi Maximus Graha Persada Tbk.,01.371.047.0-054.000,Utama,Keuangan,Asuransi,2014-01-16T00:00:00,(62-21) 65311150 ,www.kresnainsurance.com;;;;;;
"Sona Topas Tower Lantai 5 Ruang 5-01 
Jl. Jend. Sudirman Kav. 26
Kelurahan Karet, Kecamatan Setia Budi
Jakarta Selatan 12920,PT. EDI Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,info@ansa-land.com,(62-21) 290 37545,Bidang Real Estat,ASPI,PT Andalan Sakti Primaindo Tbk.,03.274.046.6-011.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-02-17T00:00:00,(62-21) 250 6789,www.ansa-land.com";;;;;;
Wisma Argo Manunggal, Lt. 18, Jl. Jend. Gatot Subroto Kav. 22, Jakarta 12930,PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@alam-sutera.com,252 5050,Pengembang dan Pembangunan (Real Estate),ASRI,ALAM SUTERA REALTY Tbk,01.642.819.5.054.000,Utama,Properti & Real Estat,Properti & Real Estat,2007-12-18T00:00:00,252 3838,www.alamsuterarealty.co.id;;;;;;
"Jl. Kebon Sirih No. 49 
Jakarta 10340,PT BSR Indonesia,Asuransi,Asuransi Umum,yoyok.setio@ramayanains.com,3193 4825,Asuransi Kerugian ,ASRM,Asuransi Ramayana Tbk,01.318.451.0-054.000,Pengembangan,Keuangan,Asuransi,1990-03-19T00:00:00,3193 7148 ,-";;;;;;
"Gedung Graha Kirana Lt. 6, Jl. Yos Sudarso No. 88, Sunter, Jakarta Utara 14350 – Indonesia ,,Pengangkutan Darat Penumpang,Transportasi Jalanan,corporate.secretary@assarent.co.id,6530 8822,""Bergerak di bidang jasa penyewaan kendaraan bermotor/alat transportasi darat, jual beli kendaraan bekas, jasa pengurusan transportasi/logistik dan jasa penyediaan juru mudi melalui Entitas Anak"",ASSA,Adi Sarana Armada Tbk,01.955.213.2-054.000,Pengembangan,Transportasi & Logistik,Transportasi,2012-11-12T00:00:00,6530 8811,www.assarent.co.id";;;;;;
"Jl. Taman Cimanggu Selatan
No. 12A RT 006 RW 009
Kedung Waringin, Tanah Sareal
Bogor, Jawa Barat 16163,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corscec.tpg@gmail.com,0,Bergerak di bidang pengembang (Developer) Properti,ATAP,PT Trimitra Prawara Goldland Tbk ,72.802.757.4-434.001,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-12-11T00:00:00,+62251 8574836,www.trimitraprawaraland.co.id";;;;;;
"Graha BIP Lantai 7Jl. Jend. Gatot Subroto Kav. 23 Jakarta,PT. Datindo Entrycom,,,corporate.secretary@anabatic.com,021-5229777,""Sistem Integrasi Teknologi Informasi yang terdiri dari solusi sistem integrasi, layanan business process outsourcing, layanan teknologi informasi outsourcing, dan distribusi dan bisnis pendukungnya"",ATIC,PT Anabatic Technologies Tbk,,UTAMA,""TRADE, SERVICES & INVESTMENT"",COMPUTER AND SERVICES,2015-07-08T00:00:00,021-5229909,www.anabatic.com";;;;;;
"Jl. Raya Pegangsaan Dua Km 2.2
Kelapa Gading Jakarta 14250,PT. Raya Saham Registra,Komponen Otomotif,Suku Cadang Otomotif,investor@component.astra.co.id,""(021)4603559,4603549,4607009,4607011"",Automotive and Components,AUTO,Astra Otoparts Tbk,01.345.243.8-054.000,Utama,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,1998-06-15T00:00:00,""(021) 4603550, 4607025"",http://www.component.astra.co.id";;;;;;
"Jalan Surabaya – Sidoarjo KM. 19, Kelurahan Wadungasih, Kecamatan Buduran, Sidoarjo 61254, Jawa Timur,PT. Bima Registra,Barang Kimia,Barang Kimia Khusus,corsec@avianbrands.com,,""Bergerak di bidang usaha industri dan perdagangan cat dan tinta cetak, pernis, lak, perekat/lem, mortar atau beton siap pakai"",AVIA,PT Avia Avian Tbk,01.203.265.2-641.000,Utama,Barang Baku,Barang Baku,2021-12-08T00:00:00,031 - 8968000,www.avianbrands.com";;;;;;
"Wisma Exa
Jl. Inspeksi PAM No.168, Cakung Barat
Jakarta Timur 13910,PT. Adimitra Jasa Korpora,Perangkat Komputer,Perangkat Komputer,corporatesecretary@terra.co.id,+6221 22461001,Perdagangan Besar Komputer dan Perlengkapan Komputer,AXIO,PT Tera Data Indonusa Tbk,027068709056000,Pengembangan,Teknologi,Perangkat Keras & Peralatan Teknologi,2022-07-20T00:00:00,+6221 22461001,www.terra.co.id";;;;;;
"Gedung Gondangdia Lama 25
Lt 3 R 1B-1C
Jl. RP Soeroso No 25 Jakarta 10330
Jakarta Pusat,PT. Adimitra Jasa Korpora,Material Konstruksi,Material Konstruksi,corpsec@agroyasalestari.com,021-3918838,""Perdagangan Besar Aspal, Geosintetik dan Bungkil Kedelai (Soya Beans Meal)."",AYLS,PT Agro Yasa Lestari Tbk,02.938.577.0-071.000,Pengembangan,Barang Baku,Barang Baku,2020-02-12T00:00:00,021-3918838,www.agroyasalestari.com";;;;;;
"Gedung MNC Financial Center Lantai 8 
Jl. Kebon Sirih Raya No 27
Jakarta 10340,PT BSR Indonesia,Bank,Bank,bank@mncbank.co.id,3983-6700,Perbankan,BABP,PT Bank MNC Internasional Tbk.,01.342.094.8-054.000,Pengembangan,Keuangan,Bank,2002-07-15T00:00:00,2980-5555,www.mncbank.co.id";;;;;;
Menara Jamsostek Lantai 6, Jl, Gatot Subroto No. 38,,Bank,Bank,helpdesk.corpsec@bankcapital.co.id,(021)27938900,Perbankan,BACA,PT Bank Capital Indonesia Tbk,01.341.893.4-054.000,Pengembangan,Keuangan,Bank,2007-10-04T00:00:00,(021)27938989,www.bankcapital.co.id;;;;;;
"Jl Pangeran Jayakarta 55
Jakarta Pusat 10730,PT. Adimitra Jasa Korpora,Logam & Mineral,Baja & Besi,team_scb@yahoo.com,(62-21) 601-1933,Industri pabrik besi baja lapis seng dan aluminium seng,BAJA,Saranacentral Bajatama Tbk,01.640.914.6-073.000,Pengembangan,Barang Baku,Barang Baku,2011-12-21T00:00:00,(62-21) 628-8647,http://www.saranacentral.com";;;;;;
"Jln. Sunset Road, Lingkungan Abianbase, Kelurahan Kuta, Kecamatan Kuta,
 Kabupaten Badung, Bali 80361.
,,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,corporate.secretary@balitower.co.id,(0361) 766059,""Penyedia Menara Telekomunikasi, Jasa dan Jaringan Telekomunikasi "",BALI,PT Bali Towerindo Sentra Tbk. ,02.601.536.2-054.000,Utama,Infrastruktur,Telekomunikasi,2014-03-13T00:00:00,(0361) 767629,www.balitower.co.id";;;;;;
Gedung Millennium Centennial Center Lt 7 Jl. Jenderal Sudirman Kav. 25 Jakarta Selatan, 12920,PT. Sharestar Indonesia,Bank,Bank,corsec@aladinbank.id,+62 21 3970 8007,Perbankan,BANK,PT Bank Aladin Syariah Tbk,01.657.743.9-058.000,Pengembangan,Keuangan,Bank,2021-02-01T00:00:00,+62 21 3970 8008,www.aladinbank.id;;;;;;
Gedung Tomang Tol Lt. 2, Jl. Arjuna No. 1, Tanjung Duren Selatan, Jakarta 11470 ,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corporatesecretary@bekasiasripemula.co.id,5687232 ,Real Estate,BAPA,Bekasi Asri Pemula Tbk,01.635.426.8-054.000,Utama,Properti & Real Estat,Properti & Real Estat,2008-01-14T00:00:00,563 6913; 569 42191 ,www.bekasiasripemula.co.id;;;;;
"Jalan Raden Fatah No. 62
Ciledug – Tangerang 15151,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@bhaktiagung.com,0,Properti (Real Estate Property),BAPI,PT Bhakti Agung Propertindo Tbk.,03.220.609.6-652.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2019-09-16T00:00:00,021 22797778,www.bhaktiagung.com";;;;;;
Jl. R.A. Kartini Kav. 28 Cilandak Barat, Jakarta Selatan 12430,PT. Bima Registra,Pakaian & Barang Mewah,Alas Kaki,id.corporate-secretary@bata.com,(021) 750-5354,Industri Alas Kaki ,BATA,Sepatu Bata Tbk,01.000.075.0-092.000,Utama,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,1982-03-24T00:00:00,(021) 750-5353,www.bata.id;;;;;;
"Jl. Raya Tanjung Pasir KP. Pondok Bahagia No. 18,
Tegal Angus, Teluknaga,
Tangerang, Banten 15510,PT. Adimitra Jasa Korpora,Ritel Khusus,Ritel Barang Rumah Tangga,corpsec@masworkspace.co.id,(021) 2229 3755,""Bergerak dalam bidang Perdagangan Besar Logam untuk Bahan Konstruksi, terutama Mur dan Baut"",BAUT,PT Mitra Angkasa Sejahtera Tbk,03.262.438.9-037.000,Pengembangan,Barang Konsumen Non-Primer,Perdagangan Ritel,2022-01-28T00:00:00,(021) 2229 3554,www.masworkspace.com";;;;;;
Jl. Ir.H. Juanda III No. 2 Jakarta 10210,PT. EDI Indonesia,Pariwisata & Rekreasi,Agen Perjalanan,office@bayubuanatravel.com,3459535,Biro Perjalanan Wisata ,BAYU,Bayu Buana Tbk,01.365.140.1-054.000,PENGEMBANGAN,Barang Konsumen Non-Primer,Jasa Konsumen,1989-10-30T00:00:00,23509999,http://www.bayubuanatravel.com  dan  http://www.bayubuanagroup.com;;;;;;
"Menara BCA, Grand Indonesia
Jalan MH Thamrin No. 1
Jakarta 10310,,Bank,Bank,investor_relations@bca.co.id,021-23588300,Jasa Perbankan ,BBCA,PT Bank Central Asia Tbk.,01.308.449.6-091.000,Utama,Keuangan,Bank,2000-05-31T00:00:00,021-23588000,www.bca.co.id";;;;;;
Menara Bank Mega, Lantai 5-6, Jalan Kapten P. Tendean No.12-14A, Jakarta Selatan 12790,PT. Datindo Entrycom,Bank,Bank,corsec@allobank.com,(021) 3841022; 3851023 ,Perbankan,BBHI,PT Allo Bank Indonesia Tbk,01.593.252.8-046.000,Pengembangan,Keuangan,Bank,2015-08-12T00:00:00,021-7990671-021-79184705-021-79182387,www.allobank.com;;;;;
Gedung Bank KB Bukopin Jl. M.T. Haryono Kav.50-51 Jakarta 12770,,Bank,Bank,investor.relations@kbbukopin.com; corsec@kbbukopin.com,798-0625,Perbankan,BBKP,PT Bank KB Bukopin Tbk,01.367.605.1-091.000,Utama,Keuangan,Bank,2006-07-10T00:00:00,798-8266,www.kbbukopin.com;;;;;
"Tokopedia Tower
Ciputra World 2, Lantai 38 Unit A-F
Jl. Prof. Dr. Satrio Kav.11
Jakarta 12950,PT. EDI Indonesia,Pembiayaan Konsumen,Pembiayaan Konsumen,""corporate.secretary@buanafinance.co.id";;;;;;
"yohanna.octaviani@buanafinance.co.id"",021-50806996,Pembiayaan,BBLD,Buana Finance Tbk,01.363.699.8-054.000,Pengembangan,Keuangan,Jasa Pembiayaan,1990-05-07T00:00:00,021-50806969,www.buanafinance.co.id";;;;;;
Jl. H. Zainul Arifin No. 118, Medan,PT. Raya Saham Registra,Bank,Bank,corsec@bankmestika.co.id,061-4527324,Jasa Perbankan,BBMD,PT Bank Mestika Dharma Tbk.,01.100.435.5-123.000,Utama,Keuangan,Bank,2013-07-08T00:00:00,061-4525800,www.bankmestika.com;;;;;;
"Grha BNI Lantai 24
Jl. Jenderal Sudirman Kavling 1
Jakarta Pusat 10220,,Bank,Bank,bni@bni.co.id,021-2511961,Perbankan & kegiatan usaha penunjang lainnya,BBNI,PT Bank Negara Indonesia (Persero) Tbk,01.001.606.1-093.000,Utama,Keuangan,Bank,1996-11-25T00:00:00,""021-2511946, 021-5728387"",www.bni.co.id";;;;;;
"Gedung BRI I Lantai 20
Jl. Jenderal Sudirman Kav.44-46, Jakarta Pusat 10210,,Bank,Bank,humas@bri.co.id"; corsec@bri.co.id,021 - 5752010; 5700916,Jasa Perbankan ,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,01.001.608.7-093.000,Utama,Keuangan,Bank,2003-11-10T00:00:00,021 - 575 1966,www.bri.co.id;;;;
"TCC Batavia Tower One 8th Floor, Suite 08-09 Jalan KH. Mas Mansyur Kav. 126 Jakarta 10220 ,PT. Datindo Entrycom,Batu Bara,Distribusi Batu Bara,corpsec@bbr.co.id ,(021) 295 294 62 ,Pelayaran,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,01.768.600.7-054.000 ,Utama,Energi,""Minyak, Gas & Batu Bara"",2013-01-09T00:00:00,(021) 295 294 61 ,www.bbr.co.id ";;;;;;
"Jl. Ir. H.Juanda No.137 Lb. Siliwiangi
Bandung - Jawa Barat, 40132,PT. Sinartama Gunita,Bank,Bank,cosec@bankbisnis.id,(62-22) 2501819,Bank Umum Swasta Non Devisa,BBSI,PT Bank Bisnis Internasional Tbk.,01.104.936.8-441.000,Pengembangan,Keuangan,Bank,2020-09-07T00:00:00,""(62-22) 2501787, 2511900"",www.bankbisnis.id";;;;;;
Jl. W.R. Supratman No. 19, Surabaya,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@bumibenowo.com,+62 31 566 2800,Real Estate yang dimiliki sendiri atau disewa,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,01.441.228.2-613.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-04-15T00:00:00,+62 31 561 2227 / 565 2277,www.bumibenowo.com;;;;;;
Gedung Menara BTN, Jl.Gajah Mada No. 1, Jakarta 10130 ,,Bank,Bank,achmad.chaerul@btn.co.id,-,Bergerak Dalam Bidang Usaha Perbankan,BBTN,PT Bank Tabungan Negara (Persero) Tbk,01.001.609.5-093.000,Utama,Keuangan,Bank,2009-12-17T00:00:00,021-6336789,www.btn.co.id;;;;;;
Treasury Tower Lantai 60 Kawasan District 8, Lot 28, SCBD, Jalan Jenderal Sudirman Kav. 52-53 Jakarta 12190 ,PT. Ficomindo Buana Registrar,Bank,Bank,corsec@bankneo.co.id,-,Perbankan,BBYB,PT Bank Neo Commerce Tbk.,01.341.570.8-073.000 ,Utama,Keuangan,Bank,2015-01-13T00:00:00,021-27094950  021-27094951,http://www.bankneocommerce.co.id/;;;;;;
"MNC Financial Center Lt.21
Jl. Kebon Sirih No.21-27
Jakarta Pusat. 10340
Indonesia,PT BSR Indonesia,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,corsec.mncfinancialservices@mncgroup.com,021-39836886,Investment Company,BCAP,MNC Kapital Indonesia Tbk,01.911.968.4-054.000,Utama,Keuangan,Perusahaan Holding & Investasi,2001-06-08T00:00:00,021-29709700,www.mncfinancialservices.com";;;;;;
Gedung Sahid Sudirman Center, Lantai 33, Jl. jend.Sudirman No. 86 Jakarta Pusat 10220,PT. Sharestar Indonesia,Bank,Bank,-, 021 2926 1492 ,Perbankan,BCIC,PT Bank JTrust Indonesia Tbk. , 01.343.070.7-054.000 ,Pengembangan,Keuangan,Bank,1997-06-25T00:00:00, 021 2926 1111 , www.jtrustbank.co.id ;;;;;;
"Gedung Millennium Group
Jl. Kramat Raya No. 32-34, 
Jakarta Pusat 10450,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@bumicitrapermai.com,(021) 3193 5557,Property dan Real Estate,BCIP,Bumi Citra Permai Tbk,019698125054000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2009-12-11T00:00:00,(021) 391 6338,www.bumicitrapermai.com";;;;;;
Menara Bank Danamon, Jl. HR. Rasuna Said, Blok C No 10, Kel. Karet, Kec. Setiabudi, Jakarta Selatan,,Bank,Bank,corporate.secretary@danamon.co.id,(021) 80645033,Jasa Perbankan ,BDMN,PT Bank Danamon Indonesia Tbk,01.308.470.2-091.000,Utama,Keuangan,Bank,1989-12-06T00:00:00,(021) 80645000,http://www.danamon.co.id/;;;;;;
"Jl. Raya Sembung Pagaden KM 9,5
Gunungsari, Pagaden, Subang, Jawa Barat,PT. Adimitra Jasa Korpora,Material Konstruksi,Material Konstruksi,corsec@berkahbetonsadaya.com,0,""Bergerak dalam bidang Industri, Konstruksi, Perdagangan Besar dan Penggalian"",BEBS,PT Berkah Beton Sadaya Tbk,90.266.986.0-439.000,Pengembangan,Barang Baku,Barang Baku,2021-03-10T00:00:00,+62 260 4551571,www.berkahbetonsadaya.com";;;;;;
"Gedung Menara Kadin Lantai 26 B-C, Jl. H.R. Rasuna Said X-5 Kav.2-3, Jakarta 12950,PT. Adimitra Jasa Korpora,Makanan Olahan,Makanan Olahan,corporatesecretary@estikafood.com,021- 527 4289,""Menjalankan usaha terintegrasi dalam kegiatan produksi dan distribusi makanan olahan yang termasuk namun tidak terbatas pada pengolahan danperdagangan sapi, ayam, ikan, frozen dough, agribisnis peternakan baik yang dilakukan melalui Perseroan maupun Perusahaan Anak."",BEEF,PT Estika Tata Tiara Tbk.,02.052.697.6-413.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2019-01-10T00:00:00,021-527 4257,www.kibif.com";;;;;;
Jl. Sudirman Lingkungan Kemang, Ruko Sembilan No. 4, 5 dan 6, Kel. Sumur Pecung, Serang, Banten,PT. Raya Saham Registra,Bank,Bank,corporate.secretary@bankbanten.co.id,-,Perbankan,BEKS,PT Bank Pembangunan Daerah Banten Tbk.,01.581.743.0-054.000,Pengembangan,Keuangan,Bank,2001-07-13T00:00:00,0254 - 7917346,www.bankbanten.co.id;;;;;;
Jl. Mahar Martanegara No. 170, Cimahi,PT. Bima Registra,Pakaian & Barang Mewah,Tekstil,corsec@trisula.com,0226613377,Industri Tekstil dan perdagangan tekstil,BELL,PT Trisula Textile Industries Tbk,01.118.564.2-441.000,Pengembangan,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,2017-10-03T00:00:00,0226613333,www.trisulatextile.com;;;;;;
"Jl. Pelabuhan Ferry Rt/Rw 005/001
Batulicin, Tanah Bumbu
Kalimantan Selatan,PT. Sharestar Indonesia,Batu Bara,Distribusi Batu Bara,corpsec@batulicinnusantaramaritim.com,0,Perseroan Menjalankan Usaha Dalam Bidang Transportasi Perairan Laut dan Sungai Di Indonesia Untuk Jasa Transportasi Batubara,BESS,PT Batulicin Nusantara Maritim Tbk.,03.153.905.9-734.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2020-03-09T00:00:00,(0518) 71869,www.batulicinnusantaramaritim.com";;;;;;
"Kawasan Industri MM2100
Jln. Sumatera 
Desa Gandasari, Kecamatan Cikarang Barat
Kabupaten Bekasi,PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@befa.id,(021) 252-0087,Pembangunan dan pengelolaan kawasan industri dan properti berikut seluruh sarana dan prasarana pendukungnya,BEST,Bekasi Fajar Industrial Estate Tbk,01.342.157.3-413.001,Utama,Properti & Real Estat,Properti & Real Estat,2012-04-10T00:00:00,(021) 252-5334,www.befa.id";;;;;;
"BFI Tower - Sunburst CBD Lot 1.2, Jl. Kapt. Soebijanto Djojohadikusumo BSD City, Tangerang Selatan, ,,Pembiayaan Konsumen,Pembiayaan Konsumen,corsec@bfi.co.id ,""(021) 2966 0757, 2966 58 "",Pembiayaan,BFIN,BFI Finance Indonesia Tbk,01.316.111.2-091.000,Utama,Keuangan,Jasa Pembiayaan,1990-05-16T00:00:00,""(021) 2965 0300, 2965 0500 "",www.bfi.co.id ";;;;;;
Wisma Hayam Wuruk Lt. 1-2, Jln. Hayam Wuruk No. 8, Jakarta Pusat 10120,PT. Datindo Entrycom,Bank,Bank,corpsect@bankganesha.co.id,+6221-29109992,Perbankan,BGTG,PT Bank Ganesha Tbk.,01.547.952.0-073.000,Pengembangan,Keuangan,Bank,2016-05-12T00:00:00,+6221-29109900 (Hunting),www.bankganesha.co.id;;;;;;
Tifa Building Lt. 8 Jl. Kuningan Barat 26, Jakarta Selatan, 12710,PT. Sharestar Indonesia,Asuransi,Asuransi Jiwa,cs@bhaktimultiartha.co.id ,(+6221) 27098077,Bergerak Dalam Bidang Konsultasi Manajemen dan Perusahaan Holding Bidang Keuangan,BHAT,PT Bhakti Multi Artha Tbk.,82.348.028.0-012.000,Pengembangan,Keuangan,Asuransi,2020-04-15T00:00:00,(+6221) 27097677,www.bhaktimultiartha.co.id;;;;;;
